nombreProvincia,nombre,cut,area,poblacion,latitud,longitud
Santiago,Providencia,13123,123,123,123,123
Santiago,Pudahuel,13124,123,123,123,123
Santiago,Quilicura,13125,123,123,123,123
Santiago,Quinta Normal,13126,123,123,123,123
Santiago,Recoleta,13127,123,123,123,123
Santiago,Renca,13128,123,123,123,123
Santiago,San Joaquín,13129,123,123,123,123
Santiago,San Miguel,13130,123,123,123,123
Santiago,San Ramón,13131,123,123,123,123
Santiago,Vitacura,13132,123,123,123,123
Cordillera,Puente Alto,13201,123,123,123,123
Cordillera,Pirque,13202,123,123,123,123
Cordillera,San José De Maipo,13203,123,123,123,123
Chacabuco,Colina,13301,123,123,123,123
Chacabuco,Lampa,13302,123,123,123,123
Chacabuco,Tiltil,13303,123,123,123,123
Maipo,San Bernardo,13401,123,123,123,123
Maipo,Buin,13402,123,123,123,123
Maipo,Calera De Tango,13403,123,123,123,123
Maipo,Paine,13404,123,123,123,123
Melipilla,Melipilla,13501,123,123,123,123
Melipilla,Alhué,13502,123,123,123,123
Melipilla,Curacaví,13503,123,123,123,123
Melipilla,María Pinto,13504,123,123,123,123
Melipilla,San Pedro,13505,123,123,123,123
Talagante,Talagante,13601,123,123,123,123
Talagante,El Monte,13602,123,123,123,123
Talagante,Isla De Maipo,13603,123,123,123,123
Talagante,Padre Hurtado,13604,123,123,123,123
Talagante,Peñaflor,13605,123,123,123,123
Valdivia,Valdivia,14101,123,123,123,123
Valdivia,Corral,14102,123,123,123,123
Valdivia,Lanco,14103,123,123,123,123
Valdivia,Los Lagos,14104,123,123,123,123
Valdivia,Máfil,14105,123,123,123,123
Valdivia,Mariquina,14106,123,123,123,123
Valdivia,Paillaco,14107,123,123,123,123
Valdivia,Panguipulli,14108,123,123,123,123
Ranco,La Unión,14201,123,123,123,123
Ranco,Futrono,14202,123,123,123,123
Ranco,Lago Ranco,14203,123,123,123,123
Ranco,Río Bueno,14204,123,123,123,123
Arica,Arica,15101,123,123,123,123
Arica,Camarones,15102,123,123,123,123
Parinacota,Putre,15201,123,123,123,123
Parinacota,General Lagos,15202,123,123,123,123
